Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Dispute_Status_for_Publication,Name_of_Associated_Covered_Device_or_Medical_Supply1,Name_of_Associated_Covered_Drug_or_Biological1,Physician_Specialty,status
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Dermatology|Dermatopathology,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
ELI LILLY AND COMPANY,No,,HUMATROPE,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Endocrinology,disallowed
ELI LILLY AND COMPANY,No,,ALIMTA,Chiropractic Providers|Chiropractor|Radiology,disallowed
ELI LILLY AND COMPANY,No,,ALIMTA,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
ELI LILLY AND COMPANY,No,,CIALIS,Allopathic & Osteopathic Physicians|Urology|Pediatric Urology,disallowed
ELI LILLY AND COMPANY,No,,CYMBALTA,Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,disallowed
ELI LILLY AND COMPANY,No,,,,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Nephrology,disallowed
ELI LILLY AND COMPANY,No,,CYMBALTA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
ELI LILLY AND COMPANY,No,,EFFIENT,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
ELI LILLY AND COMPANY,No,,STRATTERA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
ELI LILLY AND COMPANY,No,,CIALIS,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
ELI LILLY AND COMPANY,No,,ALIMTA,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Critical Care Medicine,disallowed
ELI LILLY AND COMPANY,No,,ALIMTA,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
ELI LILLY AND COMPANY,No,,CIALIS,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|General Practice,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,disallowed
ELI LILLY AND COMPANY,No,,AMYVID,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
ELI LILLY AND COMPANY,No,,FORTEO,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
ELI LILLY AND COMPANY,No,,CIALIS,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
ELI LILLY AND COMPANY,No,,AMYVID,,disallowed
ELI LILLY AND COMPANY,No,,HUMALOG,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Endocrinology,disallowed
ELI LILLY AND COMPANY,No,,HUMALOG,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Endocrinology,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
ELI LILLY AND COMPANY,No,,AXIRON,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
ELI LILLY AND COMPANY,No,,CIALIS,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
ELI LILLY AND COMPANY,No,,CIALIS,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
ELI LILLY AND COMPANY,No,,HUMALOG,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,disallowed
ELI LILLY AND COMPANY,No,,HUMALOG,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
ELI LILLY AND COMPANY,No,,AXIRON,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
ELI LILLY AND COMPANY,No,,TRADJENTA,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Surgery,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Urology,disallowed
ELI LILLY AND COMPANY,No,,CYMBALTA,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Maternal & Fetal Medicine,disallowed
ELI LILLY AND COMPANY,No,,,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
ELI LILLY AND COMPANY,No,,HUMATROPE,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
ELI LILLY AND COMPANY,No,,HUMATROPE,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
Astellas Pharma Global Development,No,,TARCEVA,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Astellas Pharma Global Development,No,,MYCAMINE,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Astellas Pharma Global Development,No,,Lexiscan,Allopathic & Osteopathic Physicians|Nuclear Medicine|Nuclear Cardiology,disallowed
Astellas Pharma Global Development,No,,TARCEVA,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Astellas Pharma Global Development,No,,ASTAGRAF XL,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
Astellas Pharma Global Development,No,,TARCEVA,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
Astellas Pharma Global Development,No,,XTANDI,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
Astellas Pharma Global Development,No,,Prograf,Allopathic & Osteopathic Physicians|Surgery,disallowed
Astellas Pharma Global Development,No,,ASTAGRAF XL,Allopathic & Osteopathic Physicians|Surgery,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Geriatric Psychiatry,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,BYSTOLIC,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|General Practice,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|General Practice,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,BYSTOLIC,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,BYSTOLIC,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Other Service Providers|Legal Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Other Service Providers|Specialist,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Urology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,DALIRESP,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Clinical Neurophysiology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,FETZIMA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,FETZIIMA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Geriatric Psychiatry,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Sports Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|General Practice,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Other Service Providers|Legal Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Emergency Medicine|Emergency Medical Services,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Surgery,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,BYSTOLIC,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Other Service Providers|Specialist,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Internal Medicine|Sleep Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Other Service Providers|Specialist,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Other Service Providers|Specialist,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"FOREST PHARMACEUTICALS, INC.",No,,BYSTOLIC,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Family Medicine|Adult Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Family Medicine|Adult Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|General Practice,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,"Other Service Providers|Medical Genetics, Ph.D. Medical Genetics",disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,DALIRESP,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,BYSTOLIC,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,BYSTOLIC,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,DALIRESP,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Anesthesiology|Critical Care Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,FETZIIMA,Other Service Providers|Specialist,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,FETZIIMA,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,FETZIIMA,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Forensic Psychiatry,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,FETZIMA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Other Service Providers|Legal Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,FETZIIMA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,FETZIIMA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Clinical Neurophysiology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Other Service Providers|Legal Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Internal Medicine|Adolescent Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Colon & Rectal Surgery,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Family Medicine|Addiction Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,BYSTOLIC,Other Service Providers|Specialist,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"FOREST PHARMACEUTICALS, INC.",No,,DALIRESP,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Family Medicine|Sports Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,BYSTOLIC,Allopathic & Osteopathic Physicians|General Practice,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Surgery|Surgical Oncology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Sleep Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Addiction Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Internal Medicine|Addiction Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA,Allopathic & Osteopathic Physicians|General Practice,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,"Emergency Medical Service Providers|Emergency Medical Technician, Basic",disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Addiction Psychiatry,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Internal Medicine|Allergy & Immunology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Other Service Providers|Specialist,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA,Other Service Providers|Specialist,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,LINZESS,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,VIIBRYD,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Clinical Neurophysiology,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,BYSTOLIC,Other Service Providers|Legal Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TEFLARO,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,NAMENDA XR,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Preventive Medicine|Public Health & General Preventive Medicine,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Ambulatory Health Care Facilities|Clinic/Center|Ambulatory Family Planning Facility,disallowed
