V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,class
0.323825,1,0.344444,0.491468,0.163489,0.99833,0.324934,0.021177,0.0598622,180.897,179.645,185.839,6.72135,5.48151,6.92881,0.164173,0.0858635,0.149313,87.3413,0.820323,-1.53354,1.09917,0.561848,0.816165,0.0827465,0.169295,0.18979,77
0.111979,0.302083,0.588889,0.43295,0.342791,0.27875,0.517681,0.0315245,0.370527,142.56,145.41,158.121,69.1605,73.4706,70.231,-0.0271058,-0.00451095,-0.0867622,76.612,2.06394,-5.32831,19.4637,5.903,7.59815,-1.02992,3.64059,-2.20913,62
0.113478,0.54375,0.336111,0.77339,0.146328,0.473385,0.326434,0.0469172,0.379089,87.1183,156.789,216.449,31.8049,30.8,24.2152,0.431771,0.0255606,-0.397334,79.9121,-8.18693,-21.0835,6.75787,1.04937,5.01934,-0.198149,0.447277,0.976867,78
0.0179051,0.138889,0.247917,0.947126,0.240179,0.126761,0.187811,0.0875889,0.48,211.944,178.978,138.125,22.9899,23.8909,24.5627,-2.89316,-2.02867,-0.865586,87.5656,2.12399,14.1288,5.91152,1.71288,3.18257,-6.10091,14.3364,4.91116,70
0.00706597,0.08125,0.111111,0.602302,0.715898,0.0699417,0.0990892,0.0941851,0.217308,193.493,195.657,202.642,23.3608,27.1026,29.641,-0.877926,-1.43384,-1.41172,89.9639,0.350769,-1.76214,5.12756,2.10941,2.00198,-1.73561,4.31517,3.46401,23
0.179763,0.883333,0.366667,0.539875,0.140282,0.842808,0.345639,0.0343495,0.444986,101.011,73.8945,46.2394,18.4194,14.813,9.29893,-2.22995,-1.70002,-1.36224,61.5418,3.99693,18.0325,6.60038,1.04145,2.62399,-3.37115,0.731302,-4.90143,92
0.0161227,0.0854167,0.322222,0.394318,0.596012,0.070817,0.287924,0.0886576,0.414214,59.2462,61.4512,63.4978,50.3203,48.4299,50.9068,0.791913,0.840062,0.914411,49.8226,-1.22801,-1.17265,21.5926,5.38117,7.64695,-0.291832,0.252387,0.274923,46
0.0511227,0.433333,0.194444,0.785218,0.0930225,0.388487,0.164212,0.051166,0.393269,237.435,238.82,249.479,17.0515,16.4755,7.20454,-1.32057,-1.49706,-7.23349,97.5113,0.690158,-2.44739,2.55144,1.53432,3.33763,-1.83228,0.0734372,-0.92183,17
0.0384766,0.360417,0.228125,0.414031,0.451526,0.288542,0.20314,0.0631134,0.53203,150.682,132.577,109.889,48.8286,45.7835,41.0338,-0.182709,-0.14238,0.46451,76.4561,1.61902,9.19876,11.3035,2.47351,7.52892,-0.479261,1.08899,0.624901,48
0.0481481,0.352778,0.158333,0.219911,0.707777,0.338905,0.142002,0.0465144,0.138002,73.125,62.6566,64.3069,29.7829,28.023,27.7203,0.193184,0.280351,0.358727,55.8762,4.37468,0.308628,11.1468,1.97435,3.38275,-0.163953,-0.503036,1.747,40
0.222674,1,0.727083,0.362998,0.662395,1.31223,0.635989,0.0379957,0.693744,76.9288,70.6918,38.448,25.1748,23.8334,18.4794,0.869936,0.861331,1.40138,58.3529,-3.74056,20.2455,8.35799,4.1524,8.2594,-0.0664671,-0.208142,1.41829,91
0.126591,0.525,0.325,0.583596,0.525365,0.445969,0.278314,0.0221257,0.258072,127.39,85.1003,91.0198,33.7612,23.3521,20.2003,-0.806691,0.0111979,0.385097,66.6052,12.3453,1.37803,7.8412,2.77631,4.02022,-0.671603,-0.269472,-1.09416,26
0.0734838,0.147222,0.635417,0.0625201,0.533595,0.129036,0.58972,0.0530005,0.214476,111.642,101.311,87.2767,61.3943,57.0661,48.6796,0.386356,0.437882,0.692208,66.3129,1.0677,6.17793,16.8723,2.58139,5.30816,-0.125777,1.54043,0.450918,63
0.228032,1,0.311111,0.463252,0.655383,0.974289,0.241243,0.028119,0.267039,104.192,93.135,90.2077,14.0965,13.4011,13.7752,0.169659,0.922674,2.03452,67.3702,2.66021,2.31668,3.85217,0.913093,2.75149,0.174799,-0.264935,-0.291783,57
0.490469,1,0.586111,0.504787,0.75389,1.00317,0.504049,0.0169551,0.163181,157.708,182.026,96.1516,12.3572,11.1965,12.5788,-0.00125894,-0.279785,0.173684,85.4151,-13.7016,25.5122,2.26939,1.51703,2.41731,-0.411562,0.853189,-0.493501,38
0.076794,0.997917,0.780556,0.509933,0.622794,1.08103,0.714094,0.120347,0.901411,121.607,125.593,107.03,66.5255,65.1867,71.8394,0.724145,0.688011,0.746276,72.2632,-4.16384,8.43546,15.8665,3.35589,7.05693,0.282382,-0.444587,1.13404,88
0.126348,0.808333,0.341667,0.595492,0.118302,0.557267,0.301829,0.0395273,0.542515,172.614,187.626,233.809,43.4627,32.3064,15.2045,-0.114104,-0.022217,-0.545343,88.371,1.67451,-12.5047,6.3085,0.887917,6.17086,-0.232147,0.148874,0.0192045,77
0.141956,0.427083,0.758333,0.652279,0.736912,0.333673,0.666074,0.0368528,0.56169,90.4505,60.1218,56.9527,51.1555,40.7583,41.3523,0.000261259,0.982953,1.18116,54.7454,9.96884,6.7881,15.7288,13.1898,10.2636,-0.123837,1.1598,-0.449564,97
0.0404919,0.358333,0.244444,0.170166,0.702453,0.326548,0.202487,0.0660283,0.537725,147.434,125.597,70.8103,71.794,72.6435,54.7513,-0.225595,-0.066016,0.405093,71.0127,0.46817,27.0804,21.7588,9.45203,15.3581,-0.906642,1.89888,0.635144,29
0.0641081,1,0.0708333,0.476521,0.0333883,0.979411,0.065725,0.0701737,0.0949448,200.481,203.098,217.103,8.44461,8.12923,8.26875,-0.879742,-0.970161,-0.547057,91.5868,0.811358,-3.49756,1.44366,0.506394,0.64235,-1.05556,-0.188171,-0.855668,77
0.0733796,0.30625,0.330556,0.703986,0.709643,0.291751,0.266622,0.0405363,0.275139,34.1826,25.7416,29.4666,25.5939,21.4286,20.4418,1.47413,2.1108,2.34585,36.3027,7.05605,-2.73733,12.8137,5.92343,5.5767,0.648636,1.90232,0.0636401,6
0.271111,1,0.3,0.517424,0.143787,1.0193,0.289053,0.0268528,0.0962963,160.114,210.127,236.665,20.7031,8.89736,6.31872,-0.327454,-2.66704,-9.36547,91.1914,-6.22053,-9.07678,1.95484,1.90192,2.82817,-2.91182,0.161854,-0.361458,78
0.279805,1,0.31875,0.52799,0.859508,0.997861,0.291289,0.026944,0.122181,82.7404,94.1734,35.543,19.7341,16.2694,14.6891,0.351113,-0.45269,0.72726,64.8465,-13.4452,30.6186,5.55841,3.49716,5.40369,-1.46772,0.531497,0.485334,38
0.159537,1,0.316667,0.402487,0.0923271,0.905459,0.213994,0.0334083,0.496199,55.3274,106.818,173.812,6.95029,8.53327,10.8103,3.72421,-0.269771,-2.02467,69.0403,-4.31001,-26.0596,2.36976,0.743444,1.31275,-1.39227,0.728856,8.88908,78
0.377436,1,0.769444,0.502246,0.635018,1.28272,0.760715,0.0286257,0.509469,161.576,135.942,107.242,45.7406,42.7614,39.1801,-0.606185,-0.515348,-0.230579,77.5644,2.43065,12.2766,11.2361,2.22812,4.37063,-1.2079,1.2473,0.604441,39
0.0749884,0.389583,0.425,0.692111,0.6524,0.348614,0.324685,0.0540207,0.547097,179.867,127.782,106.642,53.1922,67.7942,63.7014,-0.624241,0.0592259,0.530068,75.9873,11.2833,13.4747,15.1238,16.3897,7.48856,-0.243093,2.03618,0.641399,91
0.184039,0.486111,0.785417,0.509043,0.423738,0.438794,0.671745,0.0426388,0.517969,150.764,128.299,113.292,36.6735,36.7187,34.6419,0.161981,0.577424,0.979292,76.3541,3.45379,7.07097,8.5656,2.93831,3.61032,-0.139566,1.10907,0.302393,55
0.927957,1,0.952083,0.504665,0.465087,0.999078,0.928357,0.0100155,0.0253404,192.156,171.673,167.402,41.2976,45.4151,45.8566,-0.573688,-0.449552,-0.390178,85.6283,3.64408,2.71011,9.34084,1.75979,1.77648,-0.779214,0.996878,1.16524,24
0.710295,1,0.727083,0.503983,0.645857,1.00205,0.710519,0.0114552,0.0230898,154.24,131.195,132.518,18.8617,27.1647,25.9433,0.670339,0.130234,-0.0966262,77.7589,5.50192,1.46724,5.79373,3.21766,2.36823,-0.00794591,0.594569,0.279049,73
0.0184433,0.436111,0.06875,0.210137,0.515545,0.386106,0.0542661,0.102604,0.384868,83.6275,84.8971,93.9281,20.3701,16.9228,15.6006,1.14144,0.240082,-1.35958,64.1298,1.04341,-4.05282,5.63085,1.23368,3.04892,-0.621341,0.486604,1.15769,57
0.00277199,0.0395833,0.111111,0.519402,0.391539,0.0313379,0.0958045,0.183716,0.369737,120.455,123.666,128.992,42.4469,41.1504,40.4899,-0.43262,-0.388922,-0.343617,73.7144,-0.162106,-2.33197,11.263,0.872235,2.12476,-0.702217,0.480379,-0.282812,63
0.0923177,0.453125,0.35,0.177863,0.628,0.392071,0.292608,0.0325811,0.417898,74.4578,77.0169,36.8728,23.8374,19.3463,17.5363,-0.0237537,-0.0843455,0.764169,59.9905,-8.64632,23.6296,7.16254,4.40099,7.51965,-0.378492,-0.482279,0.875598,7
0.00681713,0.16875,0.0833333,0.682576,0.765844,0.122584,0.0644294,0.134974,0.515226,195.978,191.417,203.638,50.5949,60.9096,63.0959,-1.76046,-1.52984,-1.74646,88.1311,2.86506,-2.258,13.6645,4.98574,8.33296,-1.71673,2.13537,-0.115489,62
0.0780729,0.241667,0.580556,0.551485,0.7796,0.171966,0.557707,0.0410644,0.443532,177.832,159.401,138.976,56.2737,54.2715,50.109,-0.439592,-0.286013,-0.243831,82.2322,1.61418,7.58485,12.2179,2.20718,3.61492,-0.655335,-0.406413,0.995159,69
0.118142,1,0.214583,0.566537,0.282814,1.00903,0.145866,0.0415871,0.449434,219.024,216.293,217.325,11.0965,11.1939,11.5185,-3.88006,-4.02589,-3.59756,93.8783,0.53021,-0.0825494,2.09262,0.361367,0.59666,-6.17592,0.329981,-0.0724559,67
0.295393,0.730556,0.74375,0.491761,0.624205,0.552597,0.674659,0.0190816,0.456348,105.671,97.8452,91.451,55.4914,53.2548,55.4348,0.151687,0.267772,0.619143,65.4705,1.20573,3.94306,16.5014,3.0626,5.44041,-0.226492,-0.227744,0.129751,34
0.0288137,0.302778,0.127083,0.881057,0.056517,0.254177,0.11982,0.0586463,0.251166,229.854,251.159,253.464,4.24402,2.86851,2.22212,-1.42442,-3.86293,-5.11842,98.7404,-2.9871,-1.59116,0.457859,0.444944,0.392705,-3.6357,-0.89053,-0.271091,78
0.0848264,0.213889,0.5875,0.341749,0.582954,0.191451,0.500375,0.0549188,0.324952,111.397,78.2736,72.7775,56.5266,45.3296,43.7683,0.206222,1.069,1.25665,61.8009,8.90556,6.33895,14.3863,8.16223,6.00142,0.196757,0.706266,0.71805,63
0.232789,0.372917,0.836111,0.153153,0.354708,0.336962,0.798878,0.0223985,0.253401,178.131,169.007,152.749,23.7562,29.1303,29.2849,-2.236,-2.1742,-1.68291,84.8881,0.283453,5.40664,6.56724,1.88982,2.03484,-2.54304,3.57437,-0.0463335,58
0.0111921,0.122222,0.102083,0.0601115,0.476396,0.114817,0.0956468,0.081696,0.102969,144.483,108.63,69.91,25.5472,27.9116,30.3697,-0.285965,0.104921,1.71527,71.9857,4.08261,20.5333,7.17294,4.76221,6.45067,-0.545924,2.92231,-1.77314,30
0.0179572,0.127083,0.205556,0.34802,0.117226,0.103932,0.201375,0.0754109,0.312583,56.8002,63.6049,39.0889,25.1734,23.2966,18.9915,1.91859,0.620595,1.79125,54.4492,-7.84964,14.4492,9.91914,3.46223,4.80548,-0.805988,0.70045,2.8564,26
0.0892014,0.233333,0.614583,0.6525,0.562234,0.174269,0.552147,0.0410666,0.377966,138.559,113.474,101.61,49.6908,53.5087,51.3013,0.969353,1.22038,1.23299,72.0187,5.21175,7.10595,12.1128,3.36031,5.61803,0.765155,0.340213,-0.486329,55
0.160058,0.427778,0.5375,0.846876,0.724282,0.318552,0.548992,0.0278039,0.303886,197.63,176.525,141.097,20.8917,21.7844,22.7007,-2.62049,-2.22445,-1.54327,86.7763,0.435025,11.7019,4.80046,0.84856,2.19309,-3.28522,2.21261,2.15471,39
0.557054,1,0.794444,0.420336,0.700567,0.958058,0.673334,0.0147207,0.298813,141.855,114.96,80.9239,33.3263,29.7311,27.4285,-0.951086,-0.370109,0.424138,72.9702,2.15544,16.2535,8.78981,3.04378,6.02161,-1.79597,2.36949,-0.626276,55
0.0275752,0.152778,0.675,0.941322,0.261031,0.112176,0.70373,0.144806,0.732604,192.837,191.934,192.95,47.8946,49.7651,48.5939,-0.806005,-0.889168,-0.839654,88.5418,0.440049,-0.268812,10.7538,2.39843,1.91157,-1.8637,4.5913,-2.43201,52
0.0165046,0.227778,0.139583,0.863831,0.0663102,0.191712,0.127163,0.0781907,0.480888,107.792,126.642,76.0053,31.4252,31.9241,32.958,0.665722,0.416413,0.761754,73.2861,-11.7088,19.2011,7.8413,5.20686,8.20787,0.073511,0.880823,0.653877,35
0.105359,0.572917,0.336111,0.199149,0.882276,0.484214,0.294349,0.0361419,0.452863,192.223,171.31,147.598,12.2034,14.2734,15.2199,-1.77398,-1.45097,-1.10145,86.0559,1.5714,8.21554,2.83039,0.903208,1.40955,-1.8252,1.842,0.84205,69
0.125742,0.304167,0.534375,0.125737,0.704979,0.267088,0.486276,0.0281143,0.226388,159.064,106.023,57.4237,21.1224,19.484,15.8801,-0.331087,0.0762689,1.59605,72.3488,6.77389,26.6505,5.14947,1.86122,3.89065,-0.519784,0.908621,-0.375677,7
0.349722,1,0.427778,0.439006,0.186629,0.926869,0.397075,0.0193606,0.182468,86.3771,139.221,195.877,26.0262,26.5199,17.7498,0.768089,0.550607,0.167152,76.7771,-5.10827,-20.43,5.92205,0.946533,4.36863,0.387092,1.2449,0.823329,78
0.356482,0.627778,0.891667,0.556697,0.493426,0.52395,0.723786,0.0210065,0.363163,152.128,88.8142,103.754,79.516,50.4992,41.4958,-0.29312,1.13191,0.5481,68.0026,17.8048,-0.255537,12.4983,20.4009,11.8897,0.278659,0.537582,-0.981613,55
0.221707,1,0.580556,0.434409,0.142383,1.12558,0.395753,0.0419462,0.618112,136.562,157.269,187.475,31.2064,21.7505,11.1609,0.653719,0.651778,0.186074,82.0508,-0.960418,-10.0137,4.64662,0.934404,5.90317,0.482509,-0.107976,0.479571,78
0.103501,1,0.188889,0.584233,0.0708115,0.96745,0.156874,0.0601621,0.452053,253.646,251.7,254.666,4.17716,3.98837,3.80777,-20.5998,-20.688,-20.242,99.5893,0.512486,-0.524659,0.703642,0.0969927,0.133456,-23.0797,-5.90731,-15.7414,79
0.0890857,0.314583,0.447222,0.163488,0.811347,0.241077,0.420663,0.0325452,0.366789,115.695,117.681,115.992,20.5901,22.4724,30.0105,-0.24585,-0.144262,0.351166,73.12,-0.762824,0.840942,5.8854,0.783585,3.61409,-0.355918,0.72375,-1.17043,29
0.0600058,0.238889,0.5125,0.108903,0.529527,0.176588,0.448978,0.0508246,0.509879,66.0234,50.1413,42.9951,35.1043,30.5937,27.0224,0.885176,1.19944,1.64966,50.2707,5.40975,6.69824,12.8161,3.57413,5.46925,0.351865,0.498234,-0.0129575,55
0.200384,0.660417,0.4375,0.38136,0.531051,0.543844,0.378399,0.025277,0.306467,123.23,105.248,95.8235,51.416,50.8848,47.8058,0.735954,0.876967,1.2111,69.2957,3.7954,5.33528,12.7654,2.49029,4.30002,0.590964,-0.0334237,0.394317,9
0.240868,1,0.547917,0.458387,0.184988,1.19327,0.496519,0.0413483,0.560393,241.143,239.835,243.856,13.7499,13.869,13.5328,-3.77775,-4.15585,-4.41668,97.693,0.522473,-0.807104,2.43284,0.257814,0.393423,-5.49313,5.01894,0.279434,79
0.266372,0.895833,0.786111,0.65789,0.42492,0.781912,0.502005,0.0250277,0.621752,78.1661,77.6502,66.7414,40.1602,35.1694,26.2643,0.654759,0.717374,1.03363,60.0347,-1.77674,4.43708,11.6908,2.25831,8.19695,0.255938,-0.820277,0.29352,46
0.626745,1,0.925,0.556752,0.584639,0.997723,0.869055,0.0218037,0.322438,172.434,160.413,136.339,17.8627,21.2992,30.4819,-0.735794,0.0653196,0.524236,83.371,-0.152863,8.48449,4.37829,0.745392,4.7317,-0.430579,-1.80358,-0.163487,67
0.442911,0.927083,0.944444,0.526719,0.50544,0.840168,0.660308,0.0298556,0.494151,127.738,107.044,94.781,63.1249,53.33,45.3591,-0.0500056,0.110768,0.309968,69.0522,3.67231,5.96472,15.6784,5.29615,6.67049,-0.316235,2.55715,0.858286,40
0.192205,0.708333,0.35,0.330186,0.856101,0.658071,0.296671,0.0251709,0.22472,138.078,154.232,87.6547,61.1917,61.9301,53.6046,-0.220414,-0.332304,0.321264,77.807,-11.9414,24.2523,16.1042,7.34359,12.6805,-1.1544,-0.734551,0.630025,91
0.368536,1,0.472917,0.490556,0.190381,1.03434,0.396091,0.01754,0.220717,47.6857,50.5931,24.5099,17.8859,18.982,11.0825,0.678683,0.503303,1.32026,49.4601,-7.44186,19.2503,8.41733,2.92225,5.65516,-0.0502505,0.458175,0.230998,88
0.373345,1,0.466667,0.488904,0.561555,0.91419,0.412899,0.0183216,0.199975,135.622,166.883,161.523,42.0169,33.0464,38.4876,0.0593833,-0.585677,-0.0853748,82.6911,-7.3437,-0.490847,7.76723,6.8288,3.25397,-1.39198,-1.13438,-0.186939,19
0.0776562,0.595833,0.227778,0.289513,0.617483,0.472935,0.198843,0.0447872,0.42781,205.115,179.821,134.152,37.8104,30.558,26.6002,-1.65192,-1.56288,-1.43281,87.2079,0.031452,14.9024,6.91942,2.25704,3.0851,-2.14924,-3.95047,0.735564,39
0.0295023,0.20625,0.230556,0.905287,0.459101,0.181863,0.177426,0.0566889,0.379579,103.728,130.678,164.324,92.3482,80.1261,60.5115,0.669072,0.568145,0.264592,71.8054,-2.36216,-16.4948,19.6338,3.91715,13.2805,0.158219,0.513654,0.403922,62
0.298524,0.991667,0.608333,0.554679,0.203919,1.06448,0.489566,0.0260153,0.505151,200.553,196.274,191.555,28.6825,21.7843,25.6647,-1.75101,-2.60605,-1.52869,90.2194,0.280019,1.52274,4.64295,2.66456,5.34838,-3.8584,-2.46553,-0.329762,92
0.0568461,0.120833,0.638889,0.948885,0.702368,0.101388,0.584862,0.0525298,0.263643,115.675,112.014,111.013,75.3523,72.5757,69.0161,0.143008,0.240619,0.334148,67.3097,1.04892,-0.207413,21.3646,2.99856,6.8308,-0.235768,1.53651,0.832781,55
0.0294676,0.325,0.145833,0.282519,0.136375,0.296039,0.111723,0.0577376,0.378266,95.805,93.1004,83.9719,35.4354,32.0971,24.1976,-0.191269,-0.240755,0.0165171,65.642,-0.509261,3.42598,10.2344,1.17519,5.42842,-0.42597,-0.0237426,0.323916,29
0.165232,1,0.214583,0.467567,0.0861301,1.00587,0.178184,0.030856,0.229989,238.406,231.228,249.522,13.835,16.9183,6.5903,-1.39544,-0.750256,-4.5302,96.6806,2.64127,-3.67535,2.51264,1.89894,3.00419,-1.13988,-0.24287,-0.108401,17
0.0370891,0.155556,0.28125,0.930176,0.822835,0.142522,0.2642,0.0539866,0.152249,203.472,189.911,170.893,51.2645,49.4232,46.855,-1.72473,-1.63445,-1.51549,88.286,0.650948,5.99974,11.3624,1.55503,3.08965,-1.92815,0.602556,0.63877,27
0.117309,0.322222,0.539583,0.877496,0.66507,0.278753,0.593055,0.0372947,0.32529,127.923,97.8748,109.227,58.6895,47.2341,45.9666,0.071346,0.57324,0.599327,68.193,9.58822,-1.84707,13.8009,12.5924,6.40186,-0.633935,1.41904,-0.344333,9
0.296846,1,0.330556,0.505019,0.150119,1.00549,0.298698,0.0227898,0.101978,135.582,187.629,243.433,15.9011,16.7755,10.8826,-0.26011,-0.594588,-4.33352,87.2989,-4.07679,-16.5782,3.22036,0.936255,2.69972,-2.21841,0.0932054,0.453117,78
0.0637037,0.275,0.345833,0.119508,0.876289,0.269582,0.276295,0.0423328,0.330169,246.329,245.726,229.541,27.245,32.7585,33.7595,-4.3337,-4.28175,-4.13397,98.0856,-1.08373,3.75311,6.40914,1.24388,1.78577,-4.46811,4.77057,4.22486,39
0.188424,0.347917,0.596875,0.296724,0.696569,0.338127,0.557831,0.0225969,0.0926419,180.417,182.402,186.541,36.7817,37.8084,41.2812,-1.75532,-1.75091,-1.63767,87.0417,0.0198099,-1.04692,8.64654,0.619459,1.69713,-2.1778,0.180049,1.73613,58
0.0718866,0.3625,0.386111,0.154546,0.29508,0.362902,0.270917,0.0428272,0.486397,90.1465,87.4193,76.5958,28.7702,28.6486,30.3822,0.262946,0.277446,0.75333,64.016,-0.926787,5.54757,9.65389,2.18119,4.31509,-0.888074,0.463597,0.112288,38
0.105706,0.661111,0.191667,0.703984,0.400179,0.599761,0.179249,0.0326837,0.165784,157.51,141.554,127.438,13.4742,13.5711,14.5048,-1.14146,-1.18319,-1.07542,79.7639,1.7967,5.77168,3.13878,0.517436,2.05318,-1.4535,0.253225,-0.349767,39
0.260775,1,0.488889,0.480484,0.158099,1.04507,0.345996,0.0336204,0.466596,142.18,164.38,200.111,20.4247,13.6322,8.13266,1.42883,1.24619,0.797213,83.6843,-0.665764,-11.0352,2.88981,0.946951,2.56225,1.07407,0.782582,1.38603,77
0.127963,0.7375,0.327778,0.570452,0.521841,0.721016,0.240588,0.055445,0.47065,153.621,146.197,135.299,69.0853,61.5759,59.6182,-0.391207,-0.296273,-0.336889,77.9543,-0.28258,4.14977,16.2141,4.69981,4.18775,-0.874148,-1.18642,0.924287,48
0.0155671,0.211111,0.0875,0.841076,0.860155,0.192485,0.0786028,0.0695167,0.157268,214.945,215.964,216.572,20.4236,20.3443,21.1867,-1.40885,-1.34003,-1.18487,93.599,-0.118471,-0.188754,3.70457,0.415821,0.627053,-2.27541,-0.48395,-0.139176,22
0.914473,1,1,0.508574,0.493375,1.0363,1.03574,0.0148968,0.0855266,156.857,143.12,142.076,22.253,22.2136,22.4702,-0.809754,-0.858473,-0.849486,80.0333,2.79172,1.37851,5.29017,0.855738,0.604886,-1.60688,1.01197,3.76925,39
0.0662956,0.45625,0.371875,0.533564,0.217142,0.366133,0.293202,0.0577433,0.609263,252.684,253.005,253.457,12.9434,11.8965,9.94351,-11.0628,-10.9735,-11.4577,99.6473,-0.0118794,-0.136532,2.35613,0.24849,0.919254,-12.5816,0.175952,-12.9203,79
0.0318981,0.175,0.295833,0.712128,0.769129,0.155665,0.242251,0.0613208,0.383859,97.2157,78.2894,57.471,47.3937,42.6995,34.108,1.33767,1.78178,2.16932,61.338,2.80476,13.0092,11.466,11.8155,10.0454,1.0578,0.894755,1.12091,65
0.284832,0.395833,0.841667,0.180332,0.374313,0.38318,0.784588,0.0191796,0.145058,84.7118,123.107,153.441,64.5149,79.2059,87.2388,0.371598,-0.161691,-0.515992,66.3131,-4.2253,-13.3483,26.7051,6.11902,11.5863,-0.879301,0.0662211,0.023145,96
0.0579572,0.538889,0.145833,0.60524,0.940302,0.470353,0.132214,0.0441338,0.262518,74.3201,60.8387,58.5019,26.7405,25.0697,26.7053,0.500138,0.713025,0.648622,55.6739,4.62478,3.65722,9.86253,4.46094,7.00131,-0.198619,-0.819658,1.3953,39
0.288976,1,0.51875,0.51923,0.434184,1.16254,0.441782,0.0290578,0.442938,111.561,106.315,85.1323,36.0419,36.6362,42.0113,0.860642,1.05747,2.09341,69.4831,-1.64346,9.82156,9.51816,2.00978,5.63387,0.411869,0.133159,-1.43157,57
0.0175232,0.102083,0.275,0.0409566,0.519145,0.090974,0.230206,0.076288,0.375799,111.46,113.918,61.9528,79.8188,79.8284,47.5714,0.189241,0.152231,0.662783,65.5509,-7.38697,20.3553,22.9969,3.93839,10.1273,-0.0450163,0.294866,0.314833,38
0.064375,1,0.1125,0.546215,0.957793,1.05522,0.0947397,0.0728155,0.427778,108.726,101.49,83.6188,37.7881,32.66,25.0684,-0.469344,-0.419182,-0.464473,68.1923,-0.739224,7.61299,10.3019,1.17945,3.4225,-0.755809,-0.414751,-0.354072,29
0.0697454,0.2625,0.505556,0.901135,0.723981,0.25206,0.349617,0.0444739,0.474446,22.8245,25.7218,25.1807,30.6563,33.8031,33.9307,2.45125,2.38085,2.44816,30.5047,-2.06793,0.107304,18.2711,4.13304,2.13915,1.0444,-0.554162,-0.21234,88
0.256018,1,0.313889,0.489774,0.441265,1.05455,0.279507,0.0273282,0.184366,118.095,139.079,147.448,53.7971,43.8603,39.512,0.448691,0.623447,0.560119,76.7395,-4.34821,-4.82559,10.3509,3.2503,3.91764,0.25464,-0.527817,0.100142,59
0.00439236,0.08125,0.0666667,0.682472,0.588307,0.0744113,0.0583912,0.131752,0.189103,124.045,127.234,125.943,23.8697,19.8229,16.4746,-0.272688,-0.327995,-0.316128,75.5415,-0.961395,0.022229,5.07402,1.01758,2.17163,-0.497304,-0.0725683,-0.682497,6
