Description,Belts,Personal.Injury,Property.Damage,Commercial.License,Commercial.Vehicle,State,VehicleType,Year,Make,Model,Color,Charge,Contributed.To.Accident,Race,Gender,Driver.City,Driver.State,DL.State,Arrest.Type,Violation.Type
DRIVING WHILE LIC SUSP UNDER 16203 16206A2 FAIL TO ATTEND DIP 17106 26204206 27103,No,No,No,No,No,MD,02 - Automobile,2014.0,CHEV,CAMARO,GRAY,16303h,No,BLACK,M,OLNEY,MD,MD,A - Marked Patrol,Citation
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,No,No,No,No,No,MD,02 - Automobile,2008.0,BMW,4S,SILVER,222011,No,BLACK,F,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 74 MPH IN A POSTED 55 MPH ZONE,No,No,No,No,No,PA,05 - Light Duty Truck,2006.0,DODGE,TRUCK,BLUE LIGHT,218011,No,WHITE,M,MECHANICSBURG,PA,PA,A - Marked Patrol,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,02 - Automobile,2006.0,LINC,ZEPHYR,BLACK,224123b,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,1998.0,FORD,SUV,TAN,16303c,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,No,No,No,No,MD,02 - Automobile,1998.0,HONDA,ACCORD,SILVER,219011b,Yes,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
VIOLATING LIC RESTRICTION,No,No,No,No,No,MD,02 - Automobile,2003.0,HYUNDAI,ELANTRA,SILVER,16113h,No,HISPANIC,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
DRIVER CHANGING LANES WHEN UNSAFE,No,No,Yes,No,No,MD,02 - Automobile,2008.0,CHEV,MALIBU,BLACK,21309b,No,BLACK,F,BLADENSBURG,MD,MD,A - Marked Patrol,Citation
EXCEEDING POSTED MAXIMUM SPEED LIMIT 64 MPH IN A POSTED 55 MPH ZONE,No,No,No,No,No,PA,05 - Light Duty Truck,2002.0,TOYT,TACOMA,BLACK,218011,No,WHITE,M,STATE COLLEGE,PA,PA,B - Unmarked Patrol,Citation
DRIVER FAILING TO GIVE TURN SIGNAL CONTINUOUSLY DURING LAST 100 OF TRAVEL BEFORE TURNING,No,No,No,No,No,MD,05 - Light Duty Truck,2003.0,TOYOTA,TUNDRA,SILVER,21604d,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2015.0,HONDA,CIVIC,WHITE,2111242d2,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2003.0,CHRYSLER,TOWN COUNTRY,TAN,16303c,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
FAILURE OF VEH DRIVER INVOLVED IN ACCIDENT TO GIVE INSURANCE POLICY INFORMATION,No,No,No,No,No,MD,02 - Automobile,1993.0,GEO,PRISM,GREEN DK,201051,No,WHITE,F,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,No,Yes,No,No,No,NC,02 - Automobile,1998.0,TOYOTA,COROLLA,BLACK,21801b,Yes,HISPANIC,M,SILVER SPRING,MD,NC,L - Motorcycle,Citation
FALSIFYINGATTEMPT FALSIFY WITH FRAUDULENT INTENT OFFICIAL DOCUMENTPLATE ISSUED BY AD,No,No,No,No,No,MD,01 - Motorcycle,2017.0,UNKNOWN,UNKNOWN,BLUE,14110b,Yes,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2013.0,CHEVY,2S,BLACK,13411f,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,No,No,No,No,No,MD,02 - Automobile,2011.0,CHEVEROLET,IMPALA,BLACK,21902a1,No,OTHER,F,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,No,No,No,No,No,NC,02 - Automobile,1994.0,JEEP,CHEROKEE,GREEN DK,21902b1,No,BLACK,M,SILVER SPRING,MD,NC,A - Marked Patrol,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2016.0,ACURA,ILX,BLUE,13411f,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
OPER MV WITH OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,02 - Automobile,2003.0,MITSUBISHI,LANCER,GRAY,224123b,No,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,No,No,No,No,No,MD,02 - Automobile,2002.0,GMC,TRUCK,WHITE,13411c1,No,HISPANIC,M,BELTSVILLE,MD,MD,A - Marked Patrol,Citation
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,No,No,Yes,No,MD,05 - Light Duty Truck,2006.0,PETE,TK,WHITE,219011b,No,BLACK,M,DICKERSON,MD,MD,B - Unmarked Patrol,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,02 - Automobile,1994.0,CHEVY,SUBURBAN,TAN,224123b,No,WHITE,M,POOLESVILLE,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2010.0,NISS,4S,BLACK,21201a1,No,BLACK,F,JESSUP,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2007.0,BMW,4S,SILVER,21201a1,No,BLACK,M,SILVER SPRING,MD,VA,A - Marked Patrol,Citation
EXCEEDING POSTED MAXIMUM SPEED LIMIT 50 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2015.0,TOYT,4DR,BLUE,218011,No,HISPANIC,F,GAITHERSBURG,MD,MD,Q - Marked Laser,Citation
DISPLAY SUSPENDED LIC,No,No,No,No,No,MD,02 - Automobile,2006.0,DODGE,4S,GRAY,16301e,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,Yes,No,No,No,MD,08 - Recreational Vehicle,2006.0,JEEP,WRANGER,GRAY,16303c,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 50 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2006.0,DODGE,MAGNUM,BLUE,218011,No,BLACK,M,CAPITOL HEIGHTS,MD,MD,A - Marked Patrol,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2005.0,CHEVY,4S,SILVER,13409b,No,BLACK,M,BOWIE,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 80 MPH IN A POSTED 55 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2009.0,TOYT,RAV4,BRONZE,218011,No,OTHER,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
EXCEEDING POSTED MAXIMUM SPEED LIMIT 39 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2011.0,HONDA,CRV,GRAY,218011,No,WHITE,M,CHEVY CHASE,MD,MD,Q - Marked Laser,Citation
EXCEEDING MAXIMUM SPEED 54 MPH IN A POSTED 45 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2006.0,ACURA,4S,BLACK,218011,No,HISPANIC,M,ROCKVILLE,MD,MD,Q - Marked Laser,Citation
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Yes,No,Yes,No,No,MD,03 - Station Wagon,1999.0,HOND,TK,SILVER,16101a,Yes,NATIVE AMERICAN,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEHDAMAGE,No,No,No,No,No,MD,02 - Automobile,2012.0,TOYOTA,CAMRY,SILVER,20103b,Yes,OTHER,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2015.0,HYUNDAI,SANTA FE,SILVER,16112c,No,ASIAN,F,OLNEY,MD,MD,A - Marked Patrol,Citation
DRIVER SPINNING WHEELS,No,No,No,No,No,MD,02 - Automobile,1994.0,TOYOTA,TACOMA,WHITE,211117c,No,HISPANIC,M,TAKOMA PARK,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 70 MPH IN A POSTED 40 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2000.0,HONDA,ACCORD,GREEN,218011,No,OTHER,M,SILVER SPRING,MD,MD,Q - Marked Laser,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,No,Yes,No,No,No,MD,05 - Light Duty Truck,2011.0,CHEVROLET,SILVERADO,SILVER,21902b1,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
UNSAFE PASSING TO RIGHT OF OVERTAKEN VEH,No,No,No,No,No,VA,02 - Automobile,2002.0,BMW,745I,BLACK,21304b,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,No,No,No,No,No,MD,02 - Automobile,2001.0,HONDA,ACCORD,BLUE,13401b1,No,HISPANIC,M,OXON HILL,MD,MD,A - Marked Patrol,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2008.0,MERCEDES,E350,WHITE,2111242d2,No,OTHER,M,POTOMAC,MD,MD,B - Unmarked Patrol,Citation
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,No,No,No,No,No,MD,02 - Automobile,2000.0,FORD,EXPEDITION,BLACK,224123b,No,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,Yes,No,No,No,No,MD,02 - Automobile,2010.0,HOND,ACCORD,BLUE DARK,16101a,No,HISPANIC,F,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2004.0,FORD,MUSTANG,SILVER,16303c,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2003.0,FORD,EXPLORER,GREEN DK,2111242d2,No,WHITE,M,ARNOLD,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2013.0,HONDA,4DR,BLACK,16303c,No,BLACK,M,SILVER SPRING,MD,MD,R - Unmarked Laser,Citation
FAILURE MOTOR VEH DRIVER TO FURNISH WRITTEN ID INFO ON UNATTENDED DAMAGED VEH,No,No,No,No,No,VA,02 - Automobile,2013.0,NISSAN,ROGUE,BLACK,20105c,No,WHITE,F,SILVER SPRING,MD,MD,B - Unmarked Patrol,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,No,No,Yes,No,No,MD,02 - Automobile,2011.0,TOYOTA,CAMRY,GOLD,21902b1,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,Yes,No,Yes,No,No,MD,02 - Automobile,2010.0,ACUR,TL,BLACK,21902b1,No,HISPANIC,M,LANHAM,MD,MD,A - Marked Patrol,Citation
DRIVING UNREGISTERED MOTOR VEHICLE VEHICLE ON HIGHWAY,No,No,No,No,No,MD,28 - Other,0.0,MOTORIZED,SKATEBOARD,MULTICOLOR,13402a1,No,WHITE,M,BETHESDA,MD,MD,B - Unmarked Patrol,Citation
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,No,No,No,No,No,MD,02 - Automobile,2001.0,FORD,VICTORIA,WHITE,16116a,No,BLACK,M,BERWIN HEIGHTS,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 51 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2002.0,ACURA,4DR,BLUE,218011,No,HISPANIC,M,SILVER SPRING,MD,MD,O - Foot Patrol,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,2005.0,DODGE,MAGNUM,SILVER,16303h,No,BLACK,F,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,1999.0,CHEVROLET,S10 PICKUP,BLUE,16112c,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
FAILURE OF VEH DRIVER INVOLVED IN ACCIDENT TO GIVE INSURANCE POLICY INFORMATION,No,No,No,No,Yes,MD,06 - Heavy Duty Truck,2006.0,DODGE,DAKOTA,GRAY,201051,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,No,No,No,No,No,DC,02 - Automobile,2006.0,HONDA,ODYSSEY,GRAY,21402a,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,Citation
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,No,No,No,No,No,MD,02 - Automobile,2003.0,HONDA,ACCORD,GRAY,224123b,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2006.0,MINI,COOPER,GREEN DK,16112c,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,No,No,No,No,No,MD,02 - Automobile,2005.0,HONDA,CIVIC,BLACK,21902a2,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,No,Yes,No,No,No,MD,05 - Light Duty Truck,2005.0,DODGE,RAM,TAN,21801b,Yes,WHITE,M,MIDDLETOWN,MD,MD,A - Marked Patrol,Citation
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,No,No,No,No,No,VT,28 - Other,2009.0,NISSAN,MURANO,BLACK,13401b1,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2007.0,CHEV,IMPALA,SILVER,16101a1,No,BLACK,M,GAITHERSBURG,MD,DC,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 59 MPH IN A POSTED 50 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2010.0,DODGE,RAM,BLACK,218011,No,WHITE,M,FREDERICK,MD,MD,A - Marked Patrol,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,02 - Automobile,2003.0,FORD,TK,RED,224123b,Yes,BLACK,F,WASHINGTON,DC,DC,A - Marked Patrol,Citation
DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,2012.0,LEXUS,RX450,RED,21707a,No,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol,Citation
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,No,No,No,No,No,MD,02 - Automobile,2005.0,TOYOTA,CAMRY,GRAY,21204d,No,ASIAN,M,GERMANTOWN,MD,MD,L - Motorcycle,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2002.0,NISSAN,ALTIMA,BEIGE,13411f,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,No,No,No,No,No,DC,28 - Other,2014.0,CHEVROLET,SUV EQUINOX,,21202h2,No,BLACK,F,WASHINGTON,DC,DC,A - Marked Patrol,Citation
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,No,No,No,No,No,MD,02 - Automobile,2005.0,HONDA,PILOT,BLUE LIGHT,13411f,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Yes,No,No,No,No,MD,05 - Light Duty Truck,2002.0,TOYOTA,TK,BLACK,21707a,No,HISPANIC,F,SILVER SPRING,MD,MD,O - Foot Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,VA,02 - Automobile,2003.0,FORD,EXPLORER,GREEN,16112c,No,OTHER,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
DRIVER FAILING TO MAKE LEFT TURN FROM LEFT TURN LANE,No,No,No,No,No,MD,02 - Automobile,2005.0,HOND,4S,RED,21309i,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2015.0,TOYOTA,RAV4,GRAY,16303d,No,WHITE,F,OLNEY,MD,MD,Q - Marked Laser,Citation
