age,height,body_type,drinks,drugs,education,ethnicity,location,orientation,sex,sign,smokes,status,class,
64,62,curvy,rarely,never,graduated from college/university,white,"san rafael, california",straight,f,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
24,60,average,not at all,never,working on college/university,white,"berkeley, california",straight,f,aries and it&rsquo,s fun to think about,trying to quit,seeing someone,non_stem
27,64,thin,socially,never,graduated from college/university,white,"walnut creek, california",straight,f,leo,no,single,non_stem,
30,74,average,socially,never,graduated from college/university,white,"burlingame, california",straight,m,capricorn but it doesn&rsquo,t matter,no,single,non_stem
29,68,average,socially,never,graduated from college/university,asian,"oakland, california",straight,m,aquarius but it doesn&rsquo,t matter,no,single,non_stem
25,67,jacked,socially,sometimes,graduated from law school,white,"san francisco, california",straight,m,libra but it doesn&rsquo,t matter,when drinking,single,non_stem
36,82,athletic,socially,never,graduated from masters program,white,"san francisco, california",straight,m,libra but it doesn&rsquo,t matter,when drinking,single,non_stem
47,72,a little extra,socially,never,graduated from college/university,white,"vallejo, california",straight,m,leo and it&rsquo,s fun to think about,no,available,non_stem
40,60,curvy,socially,never,graduated from masters program,asian,"san francisco, california",straight,f,cancer but it doesn&rsquo,t matter,no,single,non_stem
26,70,average,rarely,never,graduated from college/university,white,"san leandro, california",straight,m,aries but it doesn&rsquo,t matter,no,seeing someone,non_stem
23,65,thin,socially,never,graduated from college/university,white,"san francisco, california",straight,f,libra,no,single,non_stem,
28,72,thin,often,sometimes,graduated from masters program,hispanic / latin,"san francisco, california",gay,m,aquarius and it&rsquo,s fun to think about,no,single,non_stem
48,72,fit,not at all,sometimes,graduated from college/university,white,"san francisco, california",straight,m,aries,no,single,non_stem,
29,68,average,socially,never,graduated from law school,asian,"san francisco, california",straight,m,taurus,no,single,non_stem,
24,71,athletic,socially,never,graduated from high school,white,"daly city, california",straight,m,pisces,no,single,non_stem,
41,65,fit,socially,never,working on two-year college,white,"novato, california",straight,m,scorpio and it&rsquo,s fun to think about,no,single,non_stem
39,61,rather not say,socially,never,graduated from college/university,asian,"san francisco, california",straight,f,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
20,65,curvy,often,sometimes,dropped out of high school,"pacific islander, hispanic / latin, white","san francisco, california",straight,f,scorpio and it matters a lot,yes,single,non_stem,
31,72,athletic,often,never,graduated from masters program,white,"san francisco, california",straight,m,leo,no,single,non_stem,
33,65,average,socially,never,graduated from masters program,"asian, pacific islander","san francisco, california",gay,m,virgo and it&rsquo,s fun to think about,when drinking,single,non_stem
48,70,average,socially,never,graduated from ph.d program,white,"palo alto, california",straight,m,scorpio but it doesn&rsquo,t matter,no,single,non_stem
28,65,fit,socially,never,graduated from college/university,asian,"daly city, california",straight,m,pisces and it&rsquo,s fun to think about,no,single,non_stem
54,62,full figured,rarely,never,graduated from college/university,white,"martinez, california",straight,f,leo and it&rsquo,s fun to think about,no,single,non_stem
27,60,curvy,socially,never,graduated from law school,asian,"san francisco, california",straight,f,gemini and it&rsquo,s fun to think about,no,single,non_stem
39,67,thin,rarely,never,working on masters program,asian,"san francisco, california",straight,f,aquarius but it doesn&rsquo,t matter,no,single,non_stem
23,66,athletic,socially,sometimes,graduated from space camp,white,"san francisco, california",straight,m,cancer,trying to quit,single,non_stem,
57,70,fit,often,never,graduated from masters program,asian,"palo alto, california",straight,m,aries,no,single,non_stem,
38,68,fit,socially,never,college/university,"native american, white, other","oakland, california",straight,f,aquarius and it&rsquo,s fun to think about,no,single,non_stem
27,62,athletic,socially,sometimes,graduated from space camp,white,"san francisco, california",straight,f,leo and it&rsquo,s fun to think about,when drinking,single,non_stem
31,65,athletic,socially,never,graduated from college/university,pacific islander,"san francisco, california",straight,m,gemini and it&rsquo,s fun to think about,no,single,non_stem
30,70,jacked,rarely,often,graduated from college/university,white,"san francisco, california",straight,m,capricorn but it doesn&rsquo,t matter,no,single,non_stem
23,71,full figured,socially,never,working on college/university,white,"daly city, california",gay,m,capricorn,no,single,non_stem,
26,65,fit,socially,never,graduated from college/university,white,"palo alto, california",straight,f,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
59,63,fit,socially,never,graduated from two-year college,white,"martinez, california",straight,f,aries but it doesn&rsquo,t matter,no,single,non_stem
40,74,athletic,socially,never,graduated from masters program,white,"san francisco, california",straight,m,gemini but it doesn&rsquo,t matter,no,single,non_stem
26,70,athletic,socially,never,working on college/university,white,"san francisco, california",gay,m,virgo and it&rsquo,s fun to think about,sometimes,single,non_stem
28,67,curvy,socially,never,graduated from college/university,white,"san francisco, california",straight,f,cancer and it&rsquo,s fun to think about,when drinking,single,non_stem
34,64,skinny,often,never,graduated from masters program,white,"san francisco, california",straight,f,leo,no,single,non_stem,
40,71,athletic,socially,never,graduated from college/university,white,"daly city, california",straight,m,libra but it doesn&rsquo,t matter,no,single,non_stem
31,64,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,f,taurus but it doesn&rsquo,t matter,no,single,non_stem
29,67,full figured,often,sometimes,high school,white,"oakland, california",bisexual,f,gemini but it doesn&rsquo,t matter,yes,available,non_stem
24,64,a little extra,socially,never,graduated from college/university,asian,"san pablo, california",straight,f,virgo and it&rsquo,s fun to think about,no,seeing someone,non_stem
43,74,athletic,not at all,never,dropped out of college/university,other,"san francisco, california",straight,m,capricorn and it&rsquo,s fun to think about,no,single,non_stem
28,72,fit,socially,never,working on med school,white,"san francisco, california",straight,m,leo and it&rsquo,s fun to think about,no,single,non_stem
29,68,average,not at all,never,graduated from high school,"pacific islander, white","san francisco, california",straight,m,cancer but it doesn&rsquo,t matter,no,single,non_stem
41,68,athletic,socially,never,graduated from law school,white,"san francisco, california",straight,m,libra but it doesn&rsquo,t matter,no,single,non_stem
44,70,average,socially,never,graduated from masters program,white,"pacifica, california",straight,m,sagittarius,no,single,non_stem,
43,68,average,socially,never,graduated from ph.d program,indian,"san francisco, california",straight,m,libra but it doesn&rsquo,t matter,no,single,non_stem
25,67,full figured,socially,never,working on college/university,"native american, white","oakland, california",straight,f,leo and it&rsquo,s fun to think about,no,single,non_stem
29,59,average,socially,never,working on college/university,"middle eastern, white","san mateo, california",straight,f,taurus and it&rsquo,s fun to think about,sometimes,single,non_stem
29,71,athletic,rarely,never,working on ph.d program,white,"san francisco, california",straight,m,libra and it&rsquo,s fun to think about,no,single,non_stem
43,59,average,socially,sometimes,graduated from college/university,white,"san francisco, california",straight,f,sagittarius and it&rsquo,s fun to think about,when drinking,single,non_stem
25,63,fit,socially,sometimes,graduated from college/university,white,"san francisco, california",straight,m,taurus,no,single,non_stem,
44,67,average,socially,sometimes,graduated from college/university,"white, other","oakland, california",bisexual,f,sagittarius,no,single,non_stem,
59,74,thin,rarely,never,graduated from college/university,white,"berkeley, california",straight,m,libra,no,single,non_stem,
52,70,athletic,socially,never,graduated from college/university,white,"alameda, california",straight,f,capricorn,no,single,non_stem,
48,69,athletic,socially,sometimes,graduated from ph.d program,white,"oakland, california",straight,m,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
56,68,athletic,socially,never,graduated from college/university,white,"benicia, california",straight,f,cancer and it&rsquo,s fun to think about,no,single,non_stem
26,63,full figured,socially,never,graduated from college/university,other,"san francisco, california",straight,f,leo but it doesn&rsquo,t matter,no,single,non_stem
37,67,thin,often,never,graduated from masters program,asian,"san francisco, california",straight,m,pisces,no,single,non_stem,
48,66,athletic,socially,never,graduated from college/university,white,"palo alto, california",gay,f,aquarius,no,single,non_stem,
25,65,athletic,socially,never,graduated from college/university,"asian, hispanic / latin","san francisco, california",straight,m,cancer but it doesn&rsquo,t matter,no,single,non_stem
24,72,average,socially,never,graduated from college/university,white,"san francisco, california",straight,m,leo but it doesn&rsquo,t matter,no,single,non_stem
34,63,average,rarely,never,graduated from college/university,asian,"san francisco, california",straight,m,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
32,70,athletic,socially,never,graduated from college/university,asian,"san francisco, california",straight,m,aquarius,no,single,non_stem,
28,71,athletic,socially,sometimes,graduated from college/university,white,"san francisco, california",straight,m,gemini,no,single,non_stem,
42,64,jacked,socially,never,graduated from college/university,hispanic / latin,"san francisco, california",gay,m,gemini but it doesn&rsquo,t matter,no,single,non_stem
33,67,fit,socially,never,graduated from college/university,white,"san francisco, california",straight,f,taurus and it&rsquo,s fun to think about,no,single,non_stem
66,63,full figured,socially,never,graduated from college/university,white,"san francisco, california",straight,f,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
27,75,athletic,socially,never,graduated from two-year college,"white, other","pleasant hill, california",straight,m,virgo,no,single,non_stem,
32,68,athletic,socially,never,graduated from masters program,"hispanic / latin, white","san francisco, california",gay,m,libra,no,single,non_stem,
25,67,average,rarely,never,graduated from college/university,"asian, middle eastern","vallejo, california",straight,f,cancer but it doesn&rsquo,t matter,no,single,non_stem
26,67,average,socially,never,graduated from college/university,white,"menlo park, california",straight,m,taurus but it doesn&rsquo,t matter,no,single,non_stem
44,66,fit,socially,never,graduated from masters program,white,"mill valley, california",straight,f,virgo and it&rsquo,s fun to think about,no,single,non_stem
39,62,average,rarely,never,graduated from college/university,pacific islander,"san francisco, california",straight,f,aquarius,no,single,non_stem,
36,65,full figured,socially,sometimes,graduated from two-year college,"native american, white","oakland, california",straight,f,libra,no,single,non_stem,
64,71,athletic,not at all,never,graduated from college/university,white,"san francisco, california",straight,m,taurus but it doesn&rsquo,t matter,no,single,non_stem
34,68,average,socially,never,graduated from masters program,white,"san francisco, california",straight,f,virgo and it&rsquo,s fun to think about,no,single,non_stem
30,68,average,socially,never,working on college/university,asian,"redwood city, california",straight,m,cancer and it&rsquo,s fun to think about,trying to quit,single,non_stem
35,74,fit,socially,never,graduated from college/university,white,"san francisco, california",straight,m,pisces,no,single,non_stem,
42,74,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,m,capricorn and it&rsquo,s fun to think about,no,available,non_stem
32,71,athletic,rarely,never,graduated from college/university,white,"san francisco, california",straight,m,sagittarius,no,single,non_stem,
22,66,fit,socially,sometimes,working on college/university,asian,"san francisco, california",straight,m,virgo but it doesn&rsquo,t matter,trying to quit,available,non_stem
43,68,average,socially,never,graduated from college/university,black,"san francisco, california",straight,f,gemini but it doesn&rsquo,t matter,no,single,non_stem
26,64,average,often,sometimes,graduated from college/university,asian,"san francisco, california",straight,f,virgo,sometimes,single,non_stem,
28,73,athletic,socially,never,graduated from college/university,white,"lafayette, california",straight,m,aries,no,single,non_stem,
24,66,average,socially,sometimes,graduated from college/university,white,"oakland, california",bisexual,f,capricorn,no,single,non_stem,
32,66,average,socially,never,graduated from college/university,"native american, white","alameda, california",straight,m,capricorn but it doesn&rsquo,t matter,no,single,non_stem
28,72,athletic,socially,never,graduated from masters program,white,"berkeley, california",straight,m,cancer but it doesn&rsquo,t matter,no,single,non_stem
28,63,average,socially,never,graduated from college/university,hispanic / latin,"san francisco, california",straight,f,taurus and it&rsquo,s fun to think about,no,seeing someone,non_stem
31,62,fit,socially,never,graduated from college/university,white,"san francisco, california",straight,f,aries but it doesn&rsquo,t matter,no,single,non_stem
