Flow ID,Flow Name,Flow Parameters,Flow Associated Tasks
3723,325b3936TESTSENTINEL999sklearn.ensemble.weight_boosting.AdaBoostClassifier(sklearn.tree.tree.DecisionTreeClassifier),No parameters available,No tasks available
3724,325b3936TESTSENTINEL999sklearn.tree.tree.DecisionTreeClassifier,No parameters available,No tasks available
4074,sklearn.tree.tree.DecisionTreeClassifier,No parameters available,No tasks available
4706,sklearn.ensemble.forest.RandomForestClassifier,No parameters available,No tasks available
4830,sklearn.ensemble.forest.RandomForestClassifier,No parameters available,No tasks available
4834,sklearn.tree.tree.DecisionTreeClassifier,No parameters available,No tasks available
4835,sklearn.svm.classes.SVC,No parameters available,No tasks available
4853,sklearn.tree.tree.DecisionTreeClassifier,No parameters available,No tasks available
4855,sklearn.ensemble.forest.RandomForestClassifier,No parameters available,No tasks available
4977,sklearn.preprocessing.imputation.Imputer,No parameters available,No tasks available
4978,sklearn.preprocessing.data.OneHotEncoder,No parameters available,No tasks available
5430,sklearn.pipeline.Pipeline,No parameters available,No tasks available
5431,sklearn.ensemble.forest.RandomTreesEmbedding,No parameters available,No tasks available
5432,"sklearn.pipeline.Pipeline(sklearn.preprocessing.imputation.Imputer,sklearn.preprocessing.data.OneHotEncoder,sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5438,sklearn.ensemble.forest.RandomForestClassifier,No parameters available,No tasks available
5442,AutoSklearnFLow.AutoSklearnFlow,No parameters available,No tasks available
5444,flows.AutoSklearnFLow.AutoSklearnFlow,No parameters available,No tasks available
5445,sklearn.ensemble.forest.ExtraTreesClassifier,No parameters available,No tasks available
5446,sklearn.neighbors.classification.KNeighborsClassifier,No parameters available,No tasks available
5447,sklearn.neighbors.classification.KNeighborsClassifier,No parameters available,No tasks available
5450,xgboost.sklearn.XGBClassifier,No parameters available,No tasks available
5451,sklearn.ensemble.weight_boosting.AdaBoostClassifier,No parameters available,No tasks available
5495,sklearn.linear_model.base.LinearRegression,No parameters available,No tasks available
5496,sklearn.svm.classes.LinearSVC,No parameters available,No tasks available
5497,sklearn.linear_model.logistic.LogisticRegression,No parameters available,No tasks available
5498,sklearn.tree.tree.DecisionTreeClassifier,No parameters available,No tasks available
5499,sklearn.svm.classes.SVC,No parameters available,No tasks available
5500,sklearn.ensemble.forest.RandomForestClassifier,No parameters available,No tasks available
5501,sklearn.neighbors.classification.KNeighborsClassifier,No parameters available,No tasks available
5502,sklearn.tree.tree.DecisionTreeClassifier,No parameters available,No tasks available
5503,sklearn.neighbors.classification.KNeighborsClassifier,No parameters available,No tasks available
5504,sklearn.linear_model.logistic.LogisticRegression,No parameters available,No tasks available
5505,"sklearn.pipeline.Pipeline(steps__scale=sklearn.preprocessing.data.RobustScaler,steps__rf=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5506,sklearn.preprocessing.data.RobustScaler,No parameters available,No tasks available
5507,"sklearn.pipeline.Pipeline(steps__imputer=sklearn.preprocessing.imputation.Imputer,steps__onehotencoder=sklearn.preprocessing.data.OneHotEncoder,steps__zerocount=tpot.operators.preprocessors.zero_count.ZeroCount,steps__logisticregression=sklearn.linear_model.logistic.LogisticRegression)",No parameters available,No tasks available
5508,sklearn.preprocessing.imputation.Imputer,No parameters available,No tasks available
5509,sklearn.preprocessing.data.OneHotEncoder,No parameters available,No tasks available
5511,__main__.PipelineWrapper(estimator__logisticregression=sklearn.linear_model.logistic.LogisticRegression),No parameters available,No tasks available
5512,__main__.PipelineWrapper(estimator__bernoullinb=sklearn.naive_bayes.BernoulliNB),No parameters available,No tasks available
5513,sklearn.naive_bayes.BernoulliNB,No parameters available,No tasks available
5515,sklearn.naive_bayes.GaussianNB,No parameters available,No tasks available
5516,sklearn.naive_bayes.MultinomialNB,No parameters available,No tasks available
5517,"sklearn.pipeline.Pipeline(steps__feature_selection=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.svm.classes.LinearSVC),steps__classification=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5518,sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.svm.classes.LinearSVC),No parameters available,No tasks available
5519,sklearn.svm.classes.LinearSVC,No parameters available,No tasks available
5520,"sklearn.pipeline.Pipeline(steps__Imputer=sklearn.preprocessing.imputation.Imputer,steps__OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,steps__Classifier=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5521,xgboost.sklearn.XGBClassifier,No parameters available,No tasks available
5525,sklearn.linear_model.perceptron.Perceptron,No parameters available,No tasks available
5584,sklearn.tree.tree.ExtraTreeClassifier,No parameters available,No tasks available
5591,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5604,sklearn.ensemble.forest.ExtraTreesClassifier,No parameters available,No tasks available
5620,sklearn.ensemble.forest.RandomForestClassifier,No parameters available,No tasks available
5626,sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,No parameters available,No tasks available
5634,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators__rf_gini=sklearn.ensemble.forest.RandomForestClassifier,estimators__et_gini=sklearn.ensemble.forest.ExtraTreesClassifier,estimators__gb=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)",No parameters available,No tasks available
5642,sklearn.naive_bayes.GaussianNB,No parameters available,No tasks available
5648,"sklearn.pipeline.Pipeline(Imputer=openml.utils.preprocessing.ConditionalImputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.naive_bayes.GaussianNB)",No parameters available,No tasks available
5650,sklearn.preprocessing.data.OneHotEncoder,No parameters available,No tasks available
5651,sklearn.feature_selection.variance_threshold.VarianceThreshold,No parameters available,No tasks available
5653,"sklearn.pipeline.Pipeline(feature_select=sklearn.feature_selection.univariate_selection.SelectPercentile,classifier=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5654,sklearn.feature_selection.univariate_selection.SelectPercentile,No parameters available,No tasks available
5655,sklearn.pipeline.Pipeline(classifier=sklearn.ensemble.forest.RandomForestClassifier),No parameters available,No tasks available
5656,"sklearn.pipeline.Pipeline(feature_select=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.RandomForestClassifier),classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
5657,sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.RandomForestClassifier),No parameters available,No tasks available
5659,"sklearn.pipeline.Pipeline(steps__scaling=sklearn.preprocessing.data.StandardScaler,steps__selector=sklearn.feature_selection.univariate_selection.GenericUnivariateSelect,steps__classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
5660,sklearn.preprocessing.data.StandardScaler,No parameters available,No tasks available
5661,sklearn.feature_selection.univariate_selection.GenericUnivariateSelect,No parameters available,No tasks available
5662,"sklearn.pipeline.Pipeline(scaling=sklearn.preprocessing.data.StandardScaler,selector=sklearn.feature_selection.univariate_selection.GenericUnivariateSelect,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
5663,"sklearn.pipeline.Pipeline(scaling=sklearn.preprocessing.data.StandardScaler,selector=sklearn.feature_selection.univariate_selection.GenericUnivariateSelect,classifier=sklearn.neighbors.classification.KNeighborsClassifier)",No parameters available,No tasks available
5666,flows.AutoSklearnFLow.AutoSklearnFlow,No parameters available,No tasks available
5667,"flows.AutoSklearnFLow.AutoSklearnFlow(preprocessor=sklearn.pipeline.Pipeline(steps__imputer=sklearn.preprocessing.imputation.Imputer,steps__onehotencoder=sklearn.preprocessing.data.OneHotEncoder,steps__variancethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold))",No parameters available,No tasks available
5668,"sklearn.pipeline.Pipeline(steps__imputer=sklearn.preprocessing.imputation.Imputer,steps__onehotencoder=sklearn.preprocessing.data.OneHotEncoder,steps__variancethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold)",No parameters available,No tasks available
5669,sklearn.feature_selection.variance_threshold.VarianceThreshold,No parameters available,No tasks available
5671,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators__rf=sklearn.ensemble.forest.RandomForestClassifier,estimators__et=sklearn.ensemble.forest.ExtraTreesClassifier,estimators__gb=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)",No parameters available,No tasks available
5672,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators__clf1=sklearn.ensemble.forest.RandomForestClassifier,estimators__clf2=sklearn.ensemble.forest.ExtraTreesClassifier,estimators__clf3=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)",No parameters available,No tasks available
5673,sklearn.ensemble.voting_classifier.VotingClassifier(estimators__clf1=sklearn.ensemble.forest.RandomForestClassifier),No parameters available,No tasks available
5674,sklearn.ensemble.voting_classifier.VotingClassifier(estimators__random_state=sklearn.ensemble.forest.RandomForestClassifier),No parameters available,No tasks available
5675,sklearn.ensemble.voting_classifier.VotingClassifier(clf1=sklearn.ensemble.forest.RandomForestClassifier),No parameters available,No tasks available
5676,sklearn.ensemble.voting_classifier.VotingClassifier(voting=sklearn.ensemble.forest.RandomForestClassifier),No parameters available,No tasks available
5677,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.RandomForestClassifier,voting=sklearn.ensemble.forest.ExtraTreesClassifier,weights=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)",No parameters available,No tasks available
5678,sklearn.ensemble.voting_classifier.VotingClassifier(rf=sklearn.ensemble.forest.RandomForestClassifier),No parameters available,No tasks available
5679,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.RandomForestClassifier,voting=sklearn.ensemble.forest.ExtraTreesClassifier,weights=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,n_jobs=sklearn.svm.classes.SVC)",No parameters available,No tasks available
5680,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.RandomForestClassifier,voting=sklearn.ensemble.forest.ExtraTreesClassifier,weights=sklearn.svm.classes.SVC)",No parameters available,No tasks available
5701,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.RandomForestClassifier,voting=xgboost.sklearn.XGBClassifier,weights=sklearn.svm.classes.SVC)",No parameters available,No tasks available
5702,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.RandomForestClassifier,voting=xgboost.sklearn.XGBClassifier,weights=sklearn.ensemble.forest.ExtraTreesClassifier)",No parameters available,No tasks available
5703,"sklearn.pipeline.Pipeline(steps__imputer=sklearn.preprocessing.imputation.Imputer,steps__onehotencoder=sklearn.preprocessing.data.OneHotEncoder,steps__variancethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,steps__deepforest=DeepForest.DeepForest)",No parameters available,No tasks available
5705,"DeepForest.DeepForest(preprocessor=sklearn.pipeline.Pipeline(steps__imputer=sklearn.preprocessing.imputation.Imputer,steps__onehotencoder=sklearn.preprocessing.data.OneHotEncoder,steps__variancethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold))",No parameters available,No tasks available
5730,"sklearn.pipeline.Pipeline(steps__scaling=sklearn.preprocessing.data.StandardScaler,steps__classifier=sklearn.ensemble.voting_classifier.VotingClassifier(estimators__extra=sklearn.ensemble.forest.ExtraTreesClassifier,estimators__rf=sklearn.ensemble.forest.RandomForestClassifier,estimators__gradboost=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,estimators__xgboost=xgboost.sklearn.XGBClassifier))",No parameters available,No tasks available
5731,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators__extra=sklearn.ensemble.forest.ExtraTreesClassifier,estimators__rf=sklearn.ensemble.forest.RandomForestClassifier,estimators__gradboost=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,estimators__xgboost=xgboost.sklearn.XGBClassifier)",No parameters available,No tasks available
5732,"sklearn.pipeline.Pipeline(steps__standardscaler=sklearn.preprocessing.data.StandardScaler,steps__votingclassifier=sklearn.ensemble.voting_classifier.VotingClassifier(estimators__extra=sklearn.ensemble.forest.ExtraTreesClassifier,estimators__rf=sklearn.ensemble.forest.RandomForestClassifier,estimators__gradboost=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,estimators__xgboost=xgboost.sklearn.XGBClassifier))",No parameters available,No tasks available
5733,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,votingclassifier=sklearn.ensemble.voting_classifier.VotingClassifier(extra=sklearn.ensemble.forest.ExtraTreesClassifier,rf=sklearn.ensemble.forest.RandomForestClassifier,gradboost=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,xgboost=xgboost.sklearn.XGBClassifier))",No parameters available,No tasks available
5734,"sklearn.ensemble.voting_classifier.VotingClassifier(extra=sklearn.ensemble.forest.ExtraTreesClassifier,rf=sklearn.ensemble.forest.RandomForestClassifier,gradboost=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,xgboost=xgboost.sklearn.XGBClassifier)",No parameters available,No tasks available
5736,"sklearn.pipeline.Pipeline(steps__Scaling=sklearn.preprocessing.data.StandardScaler,steps__features=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.ExtraTreesClassifier),steps__Classifier=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5737,sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.ExtraTreesClassifier),No parameters available,No tasks available
5738,"sklearn.pipeline.Pipeline(steps__StandardScaler=sklearn.preprocessing.data.StandardScaler,steps__SelectFromModel=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.ExtraTreesClassifier),steps__Classifier=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5739,"sklearn.pipeline.Pipeline(steps__StandardScaler=sklearn.preprocessing.data.StandardScaler,steps__SelectFromModel=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.ExtraTreesClassifier),steps__RandomForestClassifier=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5740,"sklearn.pipeline.Pipeline(steps__Imputer=sklearn.preprocessing.imputation.Imputer,steps__Classifier=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5741,"sklearn.pipeline.Pipeline(steps__scaling=sklearn.preprocessing.data.StandardScaler,steps__selector=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.ExtraTreesClassifier),steps__classifier=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5742,"sklearn.pipeline.Pipeline(steps__scaling=sklearn.preprocessing.data.StandardScaler,steps__selector=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.ExtraTreesClassifier),steps__RandomForestClassifier=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5743,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,selectfrommodel=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.ExtraTreesClassifier),randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5744,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,selectfrommodel=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.ExtraTreesClassifier),svc=sklearn.svm.classes.SVC)",No parameters available,No tasks available
5745,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,selectfrommodel=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.svm.classes.LinearSVC),svc=sklearn.svm.classes.SVC)",No parameters available,No tasks available
5746,"sklearn.pipeline.Pipeline(selectfrommodel=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.svm.classes.LinearSVC),svc=sklearn.svm.classes.SVC)",No parameters available,No tasks available
5747,"sklearn.pipeline.Pipeline(selectkbest=sklearn.feature_selection.univariate_selection.SelectKBest,gradientboostingclassifier=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)",No parameters available,No tasks available
5748,sklearn.feature_selection.univariate_selection.SelectKBest,No parameters available,No tasks available
5749,"sklearn.pipeline.Pipeline(minmaxscaler=sklearn.preprocessing.data.MinMaxScaler,selectkbest=sklearn.feature_selection.univariate_selection.SelectKBest,gradientboostingclassifier=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)",No parameters available,No tasks available
5750,sklearn.preprocessing.data.MinMaxScaler,No parameters available,No tasks available
5751,"sklearn.ensemble.voting_classifier.VotingClassifier(extra=sklearn.ensemble.forest.ExtraTreesClassifier,rf=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5752,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,selectfrommodel=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.ExtraTreesClassifier),logisticregression=sklearn.linear_model.logistic.LogisticRegression)",No parameters available,No tasks available
5753,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,selectfrommodel=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.ExtraTreesClassifier),gaussiannb=sklearn.naive_bayes.GaussianNB)",No parameters available,No tasks available
5754,"sklearn.ensemble.voting_classifier.VotingClassifier(rf=sklearn.ensemble.forest.RandomForestClassifier,et=sklearn.ensemble.forest.ExtraTreesClassifier,gb=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)",No parameters available,No tasks available
5755,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,selectfrommodel=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.ExtraTreesClassifier),gradientboostingclassifier=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)",No parameters available,No tasks available
5756,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.ExtraTreesClassifier,voting=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5757,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,genericunivariateselect=sklearn.feature_selection.univariate_selection.GenericUnivariateSelect,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5758,"sklearn.pipeline.Pipeline(minmaxscaler=sklearn.preprocessing.data.MinMaxScaler,selectfrommodel=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.ExtraTreesClassifier),randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5759,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,votingclassifier=sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.ExtraTreesClassifier,voting=sklearn.ensemble.forest.RandomForestClassifier,weights=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,n_jobs=xgboost.sklearn.XGBClassifier))",No parameters available,No tasks available
5760,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.ExtraTreesClassifier,voting=sklearn.ensemble.forest.RandomForestClassifier,weights=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,n_jobs=xgboost.sklearn.XGBClassifier)",No parameters available,No tasks available
5761,"sklearn.pipeline.Pipeline(steps__imputer=sklearn.preprocessing.imputation.Imputer,steps__onehotencoder=sklearn.preprocessing.data.OneHotEncoder,steps__variancethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,steps__randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5762,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.ExtraTreesClassifier,voting=sklearn.ensemble.forest.RandomForestClassifier,n_jobs=xgboost.sklearn.XGBClassifier)",No parameters available,No tasks available
5763,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.ExtraTreesClassifier,voting=sklearn.ensemble.forest.RandomForestClassifier,estimators_=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,n_jobs=xgboost.sklearn.XGBClassifier)",No parameters available,No tasks available
5764,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,votingclassifier=sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.ExtraTreesClassifier,voting=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,n_jobs=xgboost.sklearn.XGBClassifier))",No parameters available,No tasks available
5765,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.ExtraTreesClassifier,voting=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,n_jobs=xgboost.sklearn.XGBClassifier)",No parameters available,No tasks available
5766,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,onehotencoder=sklearn.preprocessing.data.OneHotEncoder,variancethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)",No parameters available,No tasks available
5767,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.ExtraTreesClassifier,weights=sklearn.ensemble.forest.RandomForestClassifier,n_jobs=xgboost.sklearn.XGBClassifier)",No parameters available,No tasks available
5768,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.ExtraTreesClassifier,weights=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,n_jobs=xgboost.sklearn.XGBClassifier)",No parameters available,No tasks available
5769,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,votingclassifier=sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.ExtraTreesClassifier,weights=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,n_jobs=xgboost.sklearn.XGBClassifier))",No parameters available,No tasks available
5770,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,votingclassifier=sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.ExtraTreesClassifier,voting=sklearn.ensemble.forest.RandomForestClassifier),voting=sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,voting=xgboost.sklearn.XGBClassifier)))",No parameters available,No tasks available
5771,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.forest.ExtraTreesClassifier,voting=sklearn.ensemble.forest.RandomForestClassifier),voting=sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,voting=xgboost.sklearn.XGBClassifier))",No parameters available,No tasks available
5772,"sklearn.ensemble.voting_classifier.VotingClassifier(estimators=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,voting=xgboost.sklearn.XGBClassifier)",No parameters available,No tasks available
5773,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,votingclassifier=sklearn.ensemble.voting_classifier.VotingClassifier(voting=sklearn.ensemble.forest.RandomForestClassifier,weights=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,n_jobs=xgboost.sklearn.XGBClassifier))",No parameters available,No tasks available
5774,"sklearn.ensemble.voting_classifier.VotingClassifier(voting=sklearn.ensemble.forest.RandomForestClassifier,weights=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier,n_jobs=xgboost.sklearn.XGBClassifier)",No parameters available,No tasks available
5775,"sklearn.model_selection._search.GridSearchCV(estimator=sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,select=sklearn.feature_selection.univariate_selection.SelectPercentile,scaler=sklearn.preprocessing.data.MinMaxScaler,Classifier=sklearn.neighbors.classification.KNeighborsClassifier))",No parameters available,No tasks available
5776,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,select=sklearn.feature_selection.univariate_selection.SelectPercentile,scaler=sklearn.preprocessing.data.MinMaxScaler,Classifier=sklearn.neighbors.classification.KNeighborsClassifier)",No parameters available,No tasks available
5777,"sklearn.model_selection._search.GridSearchCV(estimator=sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,select=sklearn.feature_selection.univariate_selection.SelectPercentile,scaler=sklearn.preprocessing.data.MinMaxScaler,Classifier=sklearn.ensemble.forest.RandomForestClassifier))",No parameters available,No tasks available
