,Flow Name
767,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,polynomialfeatures=sklearn.preprocessing.data.PolynomialFeatures,pca=sklearn.decomposition.pca.PCA,gradientboostingclassifier=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)"
769,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,polynomialfeatures=sklearn.preprocessing.data.PolynomialFeatures,pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)"
770,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,kernelpca=sklearn.decomposition.kernel_pca.KernelPCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)"
772,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,kernelpca=sklearn.decomposition.kernel_pca.KernelPCA,gradientboostingclassifier=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)"
773,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)"
879,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
880,sklearn.preprocessing.imputation.Imputer
881,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
882,sklearn.preprocessing.imputation.Imputer
884,"sklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,classifier=sklearn.tree.tree.DecisionTreeClassifier)"
885,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.ensemble.forest.RandomForestClassifier)"
886,sklearn.preprocessing.imputation.Imputer
887,"sklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,classifier=sklearn.tree.tree.DecisionTreeClassifier)"
894,"sklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.tree.tree.DecisionTreeClassifier)"
898,"sklearn.pipeline.Pipeline(Median-Imputer=sklearn.preprocessing.imputation.Imputer,learner=sklearn.naive_bayes.BernoulliNB)"
899,"sklearn.pipeline.Pipeline(Median-Imputer=sklearn.preprocessing.imputation.Imputer,learner=sklearn.naive_bayes.GaussianNB)"
900,"sklearn.pipeline.Pipeline(Median-Imputer=sklearn.preprocessing.imputation.Imputer,learner=sklearn.naive_bayes.MultinomialNB)"
901,"sklearn.pipeline.Pipeline(Median-Imputer=sklearn.preprocessing.imputation.Imputer,learner=sklearn.tree.tree.DecisionTreeClassifier)"
902,"sklearn.pipeline.Pipeline(Median-Imputer=sklearn.preprocessing.imputation.Imputer,learner=sklearn.ensemble.forest.ExtraTreesClassifier)"
903,"sklearn.pipeline.Pipeline(Median-Imputer=sklearn.preprocessing.imputation.Imputer,learner=sklearn.ensemble.forest.RandomForestClassifier)"
904,"sklearn.pipeline.Pipeline(Median-Imputer=sklearn.preprocessing.imputation.Imputer,learner=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)"
905,"sklearn.pipeline.Pipeline(Median-Imputer=sklearn.preprocessing.imputation.Imputer,learner=sklearn.neighbors.classification.KNeighborsClassifier)"
906,"sklearn.pipeline.Pipeline(Median-Imputer=sklearn.preprocessing.imputation.Imputer,learner=sklearn.linear_model.logistic.LogisticRegression)"
908,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
925,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.tree.tree.DecisionTreeClassifier)"
926,sklearn.preprocessing.imputation.Imputer
927,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.ensemble.forest.RandomForestClassifier)"
965,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
966,sklearn.preprocessing.imputation.Imputer
967,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
968,sklearn.preprocessing.imputation.Imputer
973,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
974,sklearn.preprocessing.imputation.Imputer
981,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.svm.classes.LinearSVC)"
982,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.svm.classes.SVC)"
985,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
986,sklearn.preprocessing.imputation.Imputer
988,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
989,sklearn.preprocessing.imputation.Imputer
991,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
992,sklearn.preprocessing.imputation.Imputer
994,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.naive_bayes.GaussianNB)"
997,"TEST58a7f286bdsklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier))"
999,"TEST2ec2b4277esklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier))"
1002,"TEST1e77b41a47sklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.tree.tree.DecisionTreeClassifier)"
1005,"TEST7991fa9b6dsklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.tree.tree.DecisionTreeClassifier)"
1020,"TESTdbaf5cd778sklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.tree.tree.DecisionTreeClassifier)"
1023,"TESTb670d2faccsklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.tree.tree.DecisionTreeClassifier)"
1028,"TEST4bd46297f3sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier))"
1036,"TESTc0b6feaae6sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier))"
1044,"TESTe96aaf7f5csklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier))"
1046,"TESTd8347ef9afsklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier))"
1049,"TEST1c761ff30dsklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier))"
1052,"TESTaca733a5fasklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier))"
1055,"TESTaa4d91fe80sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier))"
1058,"TESTa458cc393dsklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier))"
1110,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
1111,sklearn.preprocessing.imputation.Imputer
1126,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.tree.tree.DecisionTreeClassifier)"
1166,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,decisiontreeclassifier=sklearn.tree.tree.DecisionTreeClassifier)"
1167,sklearn.preprocessing.imputation.Imputer
1168,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,decisiontreeclassifier=sklearn.tree.tree.DecisionTreeClassifier)"
1169,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
1170,sklearn.preprocessing.imputation.Imputer
1171,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
1172,sklearn.preprocessing.imputation.Imputer
1175,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,clf=sklearn.ensemble.forest.RandomForestClassifier))"
1176,"sklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,clf=sklearn.ensemble.forest.RandomForestClassifier)"
1249,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)"
1269,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,Classifier=sklearn.neighbors.classification.KNeighborsClassifier)"
1277,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
1348,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,PCA=sklearn.decomposition.pca.PCA,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
1350,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,PCA=sklearn.decomposition.pca.PCA,Classifier=sklearn.svm.classes.SVC)"
1561,sklearn.preprocessing.imputation.Imputer
1563,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.tree.tree.DecisionTreeClassifier)"
1564,sklearn.preprocessing.imputation.Imputer
1565,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,decisiontreeclassifier=sklearn.tree.tree.DecisionTreeClassifier)"
1571,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
1573,sklearn.preprocessing.imputation.Imputer
1575,"sklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.tree.tree.DecisionTreeClassifier)"
1576,"sklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.naive_bayes.GaussianNB)"
1577,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)"
1578,sklearn.preprocessing.imputation.Imputer
1635,"sklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,onehot=sklearn.preprocessing.data.OneHotEncoder,classifier=sklearn.svm.classes.SVC)"
1636,sklearn.preprocessing.imputation.Imputer
1638,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
1639,sklearn.preprocessing.imputation.Imputer
1641,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
1648,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
1649,sklearn.preprocessing.imputation.Imputer
1652,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
1660,weka.filters.unsupervised.attribute.ReplaceMissingValues
1674,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,decisiontreeclassifier=sklearn.tree.tree.DecisionTreeClassifier)"
1675,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,decisiontreeclassifier=sklearn.tree.tree.DecisionTreeClassifier)"
1676,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.svm.classes.SVC)"
1680,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,classifier=sklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier))"
1697,"sklearn.pipeline.Pipeline(1=sklearn.preprocessing.imputation.Imputer,2=sklearn.preprocessing.data.OneHotEncoder,3.0=sklearn.preprocessing._function_transformer.FunctionTransformer,5=sklearn.cluster.hierarchical.FeatureAgglomeration,6=sklearn.linear_model.stochastic_gradient.SGDClassifier)"
1698,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,Categorial=sklearn.preprocessing.data.OneHotEncoder,estimator=sklearn.svm.classes.SVC)"
1699,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.ensemble.forest.RandomForestClassifier)"
1700,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.svm.classes.SVC)"
1701,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.ensemble.weight_boosting.AdaBoostClassifier(base_estimator=sklearn.tree.tree.DecisionTreeClassifier))"
1705,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,decisiontreeclassifier=sklearn.tree.tree.DecisionTreeClassifier)"
1707,"sklearn.pipeline.Pipeline(steps__Imputer=sklearn.preprocessing.imputation.Imputer,steps__OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,steps__Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
1708,sklearn.preprocessing.imputation.Imputer
1711,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing.data.OneHotEncoder,LogisticRegression=sklearn.linear_model.logistic.LogisticRegression)"
1713,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.tree.tree.DecisionTreeClassifier)"
1714,sklearn.preprocessing.imputation.Imputer
1719,sklearn.impute.MissingIndicator
1720,sklearn.preprocessing.imputation.Imputer
1722,"sklearn.pipeline.Pipeline(simpleimputer=sklearn.impute.SimpleImputer,onehotencoder=sklearn.preprocessing._encoders.OneHotEncoder)"
1723,sklearn.impute.SimpleImputer
1734,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,decisiontreeclassifier=sklearn.tree.tree.DecisionTreeClassifier)"
1735,sklearn.preprocessing.imputation.Imputer
1736,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,OneHotEncoder=sklearn.preprocessing._encoders.OneHotEncoder,Classifier=sklearn.ensemble.forest.RandomForestClassifier)"
1754,sklearn.preprocessing.imputation.Imputer
1756,"sklearn.pipeline.Pipeline(simpleimputer=sklearn.impute.SimpleImputer,onehotencoder=sklearn.preprocessing._encoders.OneHotEncoder)"
1757,sklearn.impute.SimpleImputer
1761,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.tree.tree.DecisionTreeClassifier)"
1762,sklearn.preprocessing.imputation.Imputer
1766,sklearn.preprocessing.imputation.Imputer
1768,sklearn.impute.SimpleImputer
1772,sklearn.impute.SimpleImputer
1775,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.naive_bayes.MultinomialNB)"
1776,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.ensemble.forest.RandomForestClassifier)"
1777,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.svm.classes.SVC)"
1778,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.neighbors.classification.KNeighborsClassifier)"
1779,"sklearn.pipeline.Pipeline(imputer=sklearn.impute.SimpleImputer,estimator=sklearn.tree.tree.DecisionTreeClassifier)"
1780,sklearn.impute.SimpleImputer
1781,"sklearn.pipeline.Pipeline(imputer=sklearn.impute.SimpleImputer,estimator=sklearn.naive_bayes.MultinomialNB)"
1782,"sklearn.pipeline.Pipeline(imputer=sklearn.impute.SimpleImputer,estimator=sklearn.ensemble.forest.RandomForestClassifier)"
1783,"sklearn.pipeline.Pipeline(imputer=sklearn.impute.SimpleImputer,estimator=sklearn.svm.classes.SVC)"
1784,"sklearn.pipeline.Pipeline(imputer=sklearn.impute.SimpleImputer,estimator=sklearn.neighbors.classification.KNeighborsClassifier)"
1794,sklearn.preprocessing.imputation.Imputer
1796,"sklearn.pipeline.Pipeline(simpleimputer=sklearn.impute.SimpleImputer,onehotencoder=sklearn.preprocessing._encoders.OneHotEncoder)"
1797,sklearn.impute.SimpleImputer
1801,"sklearn.pipeline.Pipeline(imputer=sklearn.impute.SimpleImputer,estimator=sklearn.tree.tree.ExtraTreeClassifier)"
1802,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.tree.tree.DecisionTreeClassifier)"
1803,sklearn.preprocessing.imputation.Imputer
1804,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.tree.tree.DecisionTreeClassifier)"
1805,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,Categorial=sklearn.preprocessing._encoders.OneHotEncoder,estimator=sklearn.svm.classes.SVC)"
1807,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,Categorial=sklearn.preprocessing.data.OneHotEncoder,estimator=sklearn.svm.classes.SVC)"
1808,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.svm.classes.SVC)"
1811,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.ensemble.forest.RandomForestClassifier)"
1813,"sklearn.pipeline.Pipeline(simpleimputer=sklearn.impute.SimpleImputer,decisiontreeclassifier=sklearn.tree.tree.DecisionTreeClassifier)"
1814,"sklearn.pipeline.Pipeline(imputer=sklearn.impute.SimpleImputer,estimator=scripts.machineLearningAlgorithms.WithoutOutliersClassifier(classifier=sklearn.tree.tree.DecisionTreeClassifier,outlierCLF=sklearn.ensemble.iforest.IsolationForest))"
1815,"sklearn.pipeline.Pipeline(imputer=sklearn.impute.SimpleImputer,estimator=scripts.machineLearningAlgorithms.WithoutOutliersClassifier(classifier=sklearn.naive_bayes.MultinomialNB,outlierCLF=sklearn.ensemble.iforest.IsolationForest))"
